"id","filename","url","name","reviewer_notes","category","type_code"
"0011","0011.jpg","https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/49c16a23-a18e-4764-9039-9d396bade44c.jpg","Stukje bot.","Zulke fragmenten zijn helaas niet te determineren.","Mammals","palaeontological"
"0012","0012.jpg","https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/27e06fbe-eef9-4794-b5b4-7242cec926b1.jpg","Kies? Van welk dier en hoe oud?","Deze kies is van een schaap of geit.","Mammals","palaeontological"
"0013","0013.jpg","https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/0a4e8af9-3416-4a64-9464-4649baac560b.jpg","Kies ","Dit is een kies uit de onderkaak van een paard. Visueel dateren is gokken.","Mammals","palaeontological"
"0014","0014.jpg","https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/13e9c411-7c3c-4bbc-a701-d52cca8cab4c.jpg","Neushoorn kies","Ik denk eerder aan een fragmentje van een mammoetkies. Op de eerste foto zie in het kauwvlak parallelle email lijnen en die zie je niet in neushoornkiezen.","Mammals","palaeontological"
"0015","0015.jpg","https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/f4de6e40-af60-4de8-ac5d-b509dba3a131.jpg","Bot","Zulke fragmenten zijn vrijwel niet te determineren.","Mammals","palaeontological"
"0016","0016.jpg","https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/54622f6f-b3b3-4132-aaae-bf8734d02a31.jpg","Bot (kom gewricht) of wervel?","Een klein fragmentje van een bekken of mogelijk schouderblad.","Mammals","palaeontological"
"0017","0017.jpg","https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/14e5c346-2ab8-445c-b17a-174a297dbb08.jpg","Opperarmbeen hyena?","Ik ben voor 90% zeker.","Mammals","palaeontological"
"0018","0018.jpg","https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/a44c0036-d056-4bf5-92cc-54b5cc2e2751.jpg","Plat botfragment","Dit is een fragment van een van de achterste borstwevels of lendenwervel van een mammoet.","Mammals","palaeontological"
"0019","0019.jpg","https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/0479082a-8dc0-4240-a09b-8048deca780d.jpg","Humerus?","Je hebt alleen foto's van de zijkant genomen. Dit is aan de hand van deze foto's een opperarmbeen van een grottenhyena.","Mammals","palaeontological"
"0020","0020.jpg","https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/5725aebd-cf9d-4f33-ac41-bac50f5ed8ed.jpg","Sprongbeen","Daar is hij te groot voor. Ik kom uit op klein edelhert","Mammals","palaeontological"
"0021","0021.jpg","https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/08cbdd31-2a4f-42b3-9ad3-42d424c3f6d3.jpg","Kin?","Zulke fragmenten zijn lastig te determineren, zeker vanaf een foto.","Mammals","palaeontological"
"0022","0022.jpg","https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/37e3d0d3-08e5-4915-8f86-7a00c9a404fa.jpg","Schedel","Verder niet te determineren.","Mammals","palaeontological"
"0023","0023.jpg","https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/2cde9e4e-d59c-4332-bb4a-6e31689e9b86.jpg","Bot","Een fragment van een middenhandsbeen van vermoedelijk een Pleistoceen paard.","Mammals","palaeontological"
"0024","0024.jpg","https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/bbb42424-d3d3-42f0-914d-f5f467442d9f.jpg","Werveltje","Hij is erg versleten, ik ga niet verder dan een wervel van een kleinere herbivoor.","Mammals","palaeontological"
"0025","0025.jpg","https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/8f8c12f0-bd82-4525-a276-3c07031917fa.jpg","Mammoet lamel ","Klopt, een losse kieslamel van een wolharige mammoet.","Mammals","palaeontological"
"0026","0026.jpg","https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/0129739f-fd3b-4b41-9ba6-9b37d4c5888e.jpg","Is dit kiesje van een jonge- of babymammoet?","Dit is een zeer bijzonder mammoetkiesje, een derde premolaar uit de onderkaak. Deze behoorde tot het tweede paar kiezen die doorkwam rond de zesde levensmaand&nbsp;<span>en gebruikt werd tot het zesde levensjaar. De kies telt zeven lamellen en te zien is dat de wortels nog niet helemaal gesloten waren. De ervaring leert dat zulke heel jonge mammoetkiesjes veel stabieler zijn dan de grotere, volwassen exemplaren. Dit kiesje zal dus minder snel gaan scheuren of barsten. Dit is een waar museumstuk. In de collectie van Naturalis hebben we slechts enkele van deze kiesjes, zo zeldzaam zijn ze.</span>","Mammals","palaeontological"
"0027","0027.jpg","https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/5e403d64-de29-4755-a123-e177cc078bcf.jpg","Kaak van.. ?","Een rechter onderkaak van een herkauwer, ik denk een koe.","Mammals","palaeontological"
"0028","0028.jpg","https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/0660d1d7-4e4c-441f-afa5-6eb564d491d7.jpg","Help mij aub","Een onderkaak zonder kiezen en een totaal ander gebied. Hij is zeker van een evhoevige planteneter en de rest wordt gokken.","Mammals","palaeontological"
"0029","0029.jpg","https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/69bbe58b-6f8a-4b79-8241-b6778e653ba9.jpg","Stuk van kaak","Een foto zonder verdere gegevens maakt het lastig. Onder voorbehoud: een fragment onderkaak met 1 kies van een koe.&nbsp;","Mammals","palaeontological"
"0030","0030.jpg","https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/18e8193c-f3a7-43e4-8bd4-27abcd660604.jpg","Halve tand ?","Een hoektand uit de linker onderkaak. Mijn eerste indruk is van een wolf / hond.","Mammals","palaeontological"
"0031","0031.jpg","https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/2735c2d2-d4bf-4490-91b5-fd8599026bb2.jpg","Stuk bot?","Het is een half bovenste deel van een spaakbeen. Het betreffende dier had het formaat van een steppenwisent of neushoorn.","Mammals","palaeontological"
"0032","0032.jpg","https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/978add3e-aed8-4b1e-b575-d505a77be054.jpg","Is dit een rib? Van een.. ?","Aan de hand van een enkele foto is het moeilijk determineren. In dit geval kan ik alleen maar melden dat het, gezien het formaat, van een dier ter grootte van een koe of groter is.","Mammals","palaeontological"
"0033","0033.jpg","https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/a0160615-e466-45d6-9fcc-4869ddf63924.jpg","Mogelijk schouderblad dier gevonden op strand Texel","Deze was van een varkentje.","Mammals","palaeontological"
"0034","0034.jpg","https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/4a008d28-3d16-4e9f-ba10-79dc465bfdd1.jpg","Bot?","Klopt dit is een los articulatievlakje (epifyse) van een nog niet volgroeide mammoetrib. Dit deel articuleert met 2 wervels.","Mammals","palaeontological"
"0035","0035.jpg","https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/52ad7bf3-28ed-4a2c-bc87-641c04dc09bc.jpg","Slagtand fragment ","Klopt, van een mammoet.","Mammals","palaeontological"
"0036","0036.jpg","https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/293e7151-6d83-4a6f-8194-bcd55fbe65e3.jpg","Klein bot ","Het is een bekkenfragmentje, maar van welk dier kan ik aan de hand van foto's niet zeggen.","Mammals","palaeontological"
"0037","0037.jpg","https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/1bfcfc34-b814-46b3-b3dd-e177a26e04f6.jpg","Kaak fragment zonder tanden ","De lijn van de wortels duidt op een planteneter.","Mammals","palaeontological"
"0038","0038.jpg","https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/031e0a51-8e81-492b-b215-f7deebeff9a4.jpg","Bot","Dit fragmentje is van het dijbeen van een bever. De aantasting van het oppervlak komt door planten wortels.","Mammals","palaeontological"
"0039","0039.jpg","https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/02ad4070-755e-46f9-aa6d-d997881d0215.jpg","Neushoorn kiesje","Dit is de eerste of tweede (m1 of m2) uit de linker onderkaak van een neushoorn en gezien de structuur waarschijnlijk van een wolharige.","Mammals","palaeontological"
"0040","0040.jpg","https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/219b5618-8453-4ac2-ad73-8d62975269cd.jpg","10cm x 7,5cm, lijkt op bot, gewei?","Het zou kunnen, maar ik ga niet verder dan een niet of moeilijk determineerbaar botfragment.","Mammals","palaeontological"
"0041","0041.jpg","https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/852a02da-6c4b-487a-9666-15f274370423.jpg","Deel van een gewricht ?","Dit is een fragment van deel van een mammoetbot. Het is los gegaan op de groeischijf.","Mammals","palaeontological"
"0042","0042.jpg","https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/08f468b4-fe4f-4f43-a103-a63bad4d73a3.jpg","Kootje ?","Dis is de voorste helft van een eerste teenkoot van een beer.","Mammals","palaeontological"
"0043","0043.jpg","https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/02b1bea0-cee8-43ed-8890-65b89918fbf6.jpg","Stukje schedel ?","Klopt, een schedelfragmentje. Maar meer kan ik er niet over vertellen.","Mammals","palaeontological"
"0044","0044.jpg","https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/42a1ecf2-6b61-4933-b4cf-01a51ade0c1e.jpg","Fossiel botfragment.","Dit is het onderste deel van het spaakbeen van een evenhoevige, formaat kleine koe.","Mammals","palaeontological"
"0045","0045.jpg","https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/195e2bd2-4756-4708-b1ba-15b72ab96008.jpg","Kies ?","Dit is een totaal versleten kies van een mammoet. Dergelijke resten laten los en worden of ingeslikt of ze vallen uit. Ik heb in Diergaarde Blijdorp een keer een verzorger met een dergelijk fragment zien lopen.","Mammals","palaeontological"
"0046","0046.jpg","https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/5bbf0dc9-1928-4377-b9a4-62fa582b06b2.jpg","Rib, cleithrum en teenkoot mammoet? ","Cleithrum klopt, het middelste zou een wervel kunnen zijn. De rib is moeilijk. Misschien paard, maarik ben niet zeker. Ik heb ze meestal overgeslagen bij mijn bezoeken aan vergelijkingscollecties.","Mammals","palaeontological"
"0047","0047.jpg","https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/02476ef8-bb71-44a5-bb24-11a9bb0d1c8f.jpg","Hoornpit ","Het is symmetrisch, ik denk eerder aan een wervelfragment","Mammals","palaeontological"
"0048","0048.jpg","https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/1138ec13-164a-446c-a3ac-a6a2c36fc54c.jpg","Onderdeel heupbeen?","Weer veel mammoet gevonden. Op een paar plaatsen zie je deze ronde spieraanhechting, dus je meot gaan vergelijken.","Mammals","palaeontological"
"0049","0049.jpg","https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/06692cd2-8b1c-43e6-8eb5-b6950c6f43ae.jpg","Schedelfragment grote grazer","Ik denk ook mammoet maar eerder iest naar achtere, een jukboog.","Mammals","palaeontological"
"0050","0050.jpg","https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/1bf76e68-36cc-437c-a24d-531cc9381acc.jpg","Kogelgewricht dijbeen.","c.a. 15 cm kan van een mammoet zijn.&nbsp; Het is waarschijnlijk een kop van een dijbeen. Het is de moeite waard om iemand een keer naar de putjes te laten kijken. Het kunnen bijtsporen zijn.","Mammals","palaeontological"
"0051","0051.jpg","https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/04a42946-f00e-447b-a246-4b02e7089fbf.jpg","Teenkoot fragement","Ik denk dat dit niet te determineren is. Die holle ruimten zitten in teenkoten, maar de rest kan ik niet plaatsen.","Mammals","palaeontological"
"0052","0052.jpg","https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/2091c0cb-c234-498b-bab2-a3e3c2e2bcfa.jpg","Gewei?","Het zou kunnen, maar aan de hand van de foto's durf ik dat niet met zekerheid te zeggen.","Mammals","palaeontological"
"0053","0053.jpg","https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/5a0ba17f-591b-4548-b278-8333565a2bd5.jpg","Gewricht","Het is te determineren, maar dan moet je in een collectie gaan vergelijken. Dit articulatie vlakje komt op een paar plaatsen voor.","Mammals","palaeontological"
"0054","0054.jpg","https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/2bffeac9-441e-40af-abf3-a856ec58ccf9.jpg","Mammoet rib?","In ieder geval aan fragment rib, mogelijk van een mammoet.","Mammals","palaeontological"
"0055","0055.jpg","https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/9b3c5a04-47fc-427f-9ee9-3ba0143193f5.jpg","Snijspoor of bijspoor","Ik denk dat door die geul een bloedvat en of zenuw heeft gelopen, maar laat hem voor alle zekerheid een keer aan iemandmet ervaring op dit gebied zien.","Mammals","palaeontological"
"0056","0056.jpg","https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/0ecf3a94-b2e7-4361-bba0-407fd37b41e9.jpg","Hout?","Het is jammer dat het zo ver uit elkaar is gevallen, maat het is het voorste puntje van een mammoet stoottand.","Mammals","palaeontological"
"0057","0057.jpg","https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/345dc038-47f5-4565-a371-afd9a0a82615.jpg","Wervel of bekken ?","Het bovenste deel van een borst- of lendenwervel van een mammoet.","Mammals","palaeontological"
"0058","0058.jpg","https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/15c9a94f-544b-4d55-9964-3eebfb0d3de2.jpg","Mammoetkies ","Deze kies is al een eind versleten. Hij komt uit de linker bovenkaak.&nbsp;Hansjorg kan mogelijk meer vertellen over welke kies dit is.","Mammals","palaeontological"
"0059","0059.jpg","https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/41a73d85-25b5-47aa-89a7-30f6eafbe453.jpg","Vondst bot MV2 ","Zulke botfragmenten zijn niet nader te determineren.","Mammals","palaeontological"
"0060","0060.jpg","https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/02132235-0dbc-484e-8c65-de5298023a9b.jpg","Vondst Maasvlakte 2 zwart","De voorste kies uit de bovenkaak van een paard. Ik vemoed een melkkies.","Mammals","palaeontological"
"0061","0061.jpg","https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/427105c9-6dfe-4867-8345-24bb4095be2b.jpg","Klauw(?) gevonden op Zuiderstrand DH","Dit is een fragmentje van een lamel uit een mammoetkies in opbouw.","Mammals","palaeontological"
"0062","0062.jpg","https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/0aba36a0-b909-41c9-bf69-df9572795914.jpg","Strandvondst MV2 ","Een niet te determineren botfragment","Mammals","palaeontological"
"0063","0063.jpg","https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/3c392804-c37c-4b3c-83ab-b2b7a665b8c8.jpg","Maasvlakte 2 strandvondst","Een brok bot dat als je er veel moeite voor doet te determineren is. Gezien de structuur zou het van een mammoet kunnen zijn.","Mammals","palaeontological"
"0064","0064.jpg","https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/615c5874-6ce5-44ce-9ef1-81b3a42bf61f.jpg","Klein stuk mammoeten?","Ik kan niet zien hoe groot het is, dus ik ga niet verder dan een niet te determineren botfragment","Mammals","palaeontological"
"0065","0065.jpg","https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/bab17266-d351-4b25-a687-39d1e06fff0b.jpg","Wervel? ","Dez was van een jong varken en is door de slager doorgezaagd.","Mammals","palaeontological"
"0066","0066.jpg","https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/59373d22-bda7-44fd-a07a-9e7887f51b5b.jpg","Mammoet voetbeen?","Klopt, uit de pols een uncinatum","Mammals","palaeontological"
"0067","0067.jpg","https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/219acd43-2963-4e38-99e1-74900c1156b1.jpg","Stuk bot?","Een groot fragment van een halswervel van een hert- of runderachtige.","Mammals","palaeontological"
"0068","0068.jpg","https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/0444ec67-9978-4178-b389-d9baabcb03ba.jpg","Stuk bot?","Klopt, maar helaas niet verder te determineren.","Mammals","palaeontological"
"0069","0069.jpg","https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/cdedebe6-ae28-4eff-99ea-ccca33eaf004.jpg","Fossiel bot","Zulke fragmenten zijn zelden te determineren.","Mammals","palaeontological"
"0070","0070.jpg","https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/9bfe2534-daed-4092-a85d-5ac4b99ee3e3.jpg","Bot 2","Is dat hetzelfde stuk? De twee doorsneden lijken heel erg veel op elkaar.","Mammals","palaeontological"
"0071","0071.jpg","https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/4349e8bc-187f-48ae-8e4a-f748f99d381c.jpg","Bot 1","Ik ga wat gokken. Mogelijk een stukje dijbeen, dat is aan de hand van de foto van de doorsnede. Iemand met ervaring op dit gebied moet het in handen hebben.","Mammals","palaeontological"
"0072","0072.jpg","https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/576ef299-3184-4499-b1ca-f96eff05b3d5.jpg","Bewerkt vuursteen","Ik heb wat ervaring met vuursteen en heb met dit stuk veel problemen. Op de erste foto twijfel ik, op de tweede meen ik een spanningsbreuk te zien.Intussen door Marcel Niekes goedgekeurd als middenpaleolithische afslag","Tools","archaeological"
"0073","0073.jpg","https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/15e761d8-ffc3-47ed-9ef4-656d3a8c5460.jpg","Bot fragment","Zulke botfragmenten zijn helaas niet te determineren.","Mammals","palaeontological"
"0074","0074.jpg","https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/3032ddbe-50e4-432e-8c74-bddfb0660d7f.jpg","Kaak baby mammoet?","Klopt, een groot fragment van de onderkaak van een jonge mammoet. Maar wat te groot voor een baby.","Mammals","palaeontological"
"0075","0075.jpg","https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/2dff57a9-56a2-469e-abee-034f229dafd3.jpg","Bot","Het is een fragment van een heiligbeen (sacrum). Het is wat beschadigd, maar ik denk van een varken / zwijn","Mammals","palaeontological"
"0076","0076.jpg","https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/45eae5dd-bc59-4527-86ff-2df580626c57.jpg","Tandfragment closeups","Bedankt voor de extra foto's. Ik ben er nu zeker van dat het een 'zuil' (of lophe) is van een grotere tand, een kies. Er zijn twee kandidaten: neushoorn of nijlpaard. Aan de zijkant is duidelijk het tandemail te zien. Het ziet er ook gelaagd uit, wat je verwacht bij de genoemde soorten. We willen dit stuk graag een keer zien tijdens een determinatiedag, bijv. bij Futureland of in Naturalis.","Mammals","palaeontological"
"0077","0077.jpg","https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/8954857c-2d54-4d55-a4f6-2d28af6d1020.jpg","Hout ","Lastig die gaten kunnen van boormosselen of mogelijk paalworm zijn.","Mammals","palaeontological"
"0078","0078.jpg","https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/07a3604d-e745-411d-8f70-c7f9fe7e3340.jpg","Fragment groter bot","Zulke fragmenten zijn vrijwel niet te determineren. Gezien de structuur en het formaat kan het van een mammoet geweest zijn.","Mammals","palaeontological"
"0079","0079.jpg","https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/269bd733-9360-480f-94c7-fc91053e2266.jpg","Stukje bot","Een fragementje van een doornvormig uitsteeksel van een van de achterste borstwervels van een mammoet","Mammals","palaeontological"
"0080","0080.jpg","https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/310dec56-ba40-4db9-a15a-454d80fc9fbe.jpg","Bot met open structuur ","Dit is een fragment van een schedel. De holle ruimten zijn sinussen. Ze dienen om de schedel van binnen te versterken op plaatsen waar hij niet gebruikt wordt door hersenen e.d. Mogelijk is dit van een mammoet schedel.Bij ons heten de sinussen voorhoofds- of neusholte enz.","Mammals","palaeontological"
"0081","0081.jpg","https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/2c6d7291-0427-4b21-9ff5-adf949dfb055.jpg","Fossiel schelp?","Deze schelp, een tepelhoorn, is volledig begroeid met zeerasp. Waarschijnlijk is hij een tijd door een heremietkreeft gebruikt.","Mammals","palaeontological"
"0082","0082.jpg","https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/48c75b1d-33c2-4c2b-81c2-80be472a77e0.jpg","Bot","Ik kan het niet zeggen, want het zou ook een stukje schedel kunnen zijn.","Mammals","palaeontological"
"0083","0083.jpg","https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/13db8700-dbc2-4a42-8268-0ef93264d9c5.jpg","Groot bot","Klopt, het onderste deel van het linker opperarmbeen van een neushoorn.","Mammals","palaeontological"
"0084","0084.jpg","https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/050f32de-e6d3-47b3-94f1-d35865ed9d95.jpg","Tand","Dit is een snijtand uit de onderkaak van een runderachtige.","Mammals","palaeontological"
"0085","0085.jpg","https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/248d5502-90bc-4dcc-b5a6-ec72d3b2e865.jpg","Kaakfragment hertachtige?","De kies, premolaar 4, is niet gebroken, maar kenmerkend voor de herten uit de lijn vande Capreolinae (in onze omgeving de Eland, Rendier en Ree). Dit fragmentje van een linker onderkaak van een Rendier.","Mammals","palaeontological"
"0086","0086.jpg","https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/793b3828-1e82-485a-a4d0-36a3c77a9514.jpg","Kies gevonden op strand Katwijk","Dit is een premolaar uit de onderkaak van een koe.","Mammals","palaeontological"
"0087","0087.jpg","https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/03cd798e-dbfa-4f13-af8e-c9b9b92ed44a.jpg","Gewricht","Deze kan ik zo niet determineren. Als iemand met ervaring het in handen heeft bestaat er de kans dat het grote stuk te determineren is.","Mammals","palaeontological"
"0088","0088.jpg","https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/29a2e930-8b20-4209-be97-e5103e266267.jpg","Kaak fragement","Zulke fragmenten zijn lastig. Die V vorm is meestal van een roofdier.","Mammals","palaeontological"
"0089","0089.jpg","https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/1993383c-d781-46a8-bc41-66326be9517f.jpg","Rib fragement ","Ik denk ook een ribfragment, maar van welk dier is lastig.","Mammals","palaeontological"
"0090","0090.jpg","https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/0181e180-4cae-4d77-b738-2140e95471e9.jpg","Gewricht ","In dit geval is de kwaliteit voldoende. Dit is een los fragmentje van de oderzijde van het middenhand- of middenvoetbeen van een evenhoevige. Op dit deel beweegt de teen.Het formaat is ongeveer van een reuzenhert of steppenwisent.","Mammals","palaeontological"
"0091","0091.jpg","https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/4ad2a17b-378c-4009-8cbd-0dc74e83b582.jpg","Stukje kaak en kies roofdier","Is de kies 3 cm lang? Hij is van een carnivoor, maar de foto's zijn niet scherp, dus ik kan hem niet goed beoordelen. De eerste indruk is van een hondachtige.","Mammals","palaeontological"
"0092","0092.jpg","https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/5b96bc1b-2a1f-4b24-84b6-210b9513c0a9.jpg","Wervel uit Noordzee","Dit is een borstwervel van een grote evenhoevige.","Mammals","palaeontological"
"0093","0093.jpg","https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/338c8faa-a783-415e-8170-38d8968188d5.jpg","Twee bot fragmenten ","Vanaf deze foto's zijn ze niet te determineren. De bovenste kan alsnog door te gaan verelijken, maar de kleine zeker niet.","Mammals","palaeontological"
