id;filename;url;reviewer_notes;category;type_code;ShortOrLong
58;0058.jpg;https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/418e8066-265b-4cff-be7a-8e2b32802485.jpg;Gezien de structuur van het slot vrijwel zeker van een mammoet.;Mammals;palaeontological;Short
59;0059.jpg;https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/5f2b580a-b3d9-42fb-89b7-4f4e4ba1a602.jpg;Gezien het formaat en de structuur waarschijnlijk van een mammoet, maar meer kan ik er niet van zeggen.;Mammals;palaeontological;Long
60;0060.jpg;https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/32312362-6f3f-4b6b-92bd-0f465fa611b8.jpg;Ik vermoet een fragment van een mammoetwervel.;Mammals;palaeontological;Short
61;0061.jpg;https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/71bd1fb0-e764-466c-bf7c-580993aa0641.jpg;Een kies uit de onderkaak van een mammoet. Om te bewaren moet je hem wel prepareren. Op internet zijn wel een paar methodes te vinden.;Mammals;palaeontological;Long
62;0062.jpg;https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/a95925f5-4ca1-4021-812d-ce45e1c41699.jpg;Klopt, een schedelfragment met een paar sinussen. Welk dier weet ik niet, maar mammoet kan je uitsluiten;Mammals;palaeontological;Long
63;0063.jpg;https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/237c943f-53ae-4da1-a7f0-2e98ba197c7a.jpg;2e meldingHet dijbeen is nog zonder de beide uiteinden ( epifysen), dat betekend dat de betreffende mammoet nog niet volgroeid was.De losse epifyese is ook van een dijbeen, maar ik ben niet zeker dat hij van een mammoet is. Dat ziu goed lukken met vergelijken.;Mammals;palaeontological;Long
64;0064.jpg;https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/70137782-91e0-4eac-8636-1afbbca888d9.jpg;Het dijbeen is van een niet volgroeide mammoet. Het losse eind is de onderste epifyse van een dijbeen. De diersoort is zo lastig te bepalen. Je zou kunnen gaan vergelijken.;Mammals;palaeontological;Long
65;0065.jpg;https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/1d61f4d6-730f-452e-92e0-2c9d90ff1dd3.jpg;Die fragmenten zijn altijd lastig, maar gezien de vorm en afmeting denk ik ook een stuk dijbeen van een mammoet.;Mammals;palaeontological;Long
66;0066.jpg;https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/45067122-ed9f-45a8-b879-07e1a4e60396.jpg;Geen MaasvklakteEen losse lamel met wortel van een, nog in opbouw zijnde, mammoet kies.;Mammals;palaeontological;Short
67;0067.jpg;https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/2877a5bd-2f4a-4278-b8d3-7e0b5b4d223e.jpg;Ik kan niet zien hoe groot het bot is, maar gezien de structuur vermoed ik dat het van een mammoet was;Mammals;palaeontological;Long
68;0068.jpg;https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/1ac47f11-efe5-4d27-aab2-f49aaea39b69.jpg;Leuke vondst, een dijbeen van een jonge mammoet.;Mammals;palaeontological;Short
69;0069.jpg;https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/07e0bfc1-7933-4083-b548-a1a38c7f0ee8.jpg;Het is een vierde premolaar uit de bovenkaak van een wolharige mammoet. Mooie vondst.;Mammals;palaeontological;Short
70;0070.jpg;https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/00df4a0a-2b1d-4b46-b5a4-d425cafe5e72.jpg;Een los fragment, de wortel, van een lamel uit de kies in opbouw van een mammoet.;Mammals;palaeontological;Short
71;0071.jpg;https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/65831988-51a0-4f3e-8d24-10403185719e.jpg;Ik zeg vaak dat een mammoet saai is, omdat er veel resten (botfragmenten) van hem gevonden wordt, maar dit is een fragment van een lendenwervel. Er is geen maataanduiding, maar ik verwacht dat het dier zo groot was als een paard of koe.;Mammals;palaeontological;Long
72;0072.jpg;https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/30b27a86-4f6c-4494-abd7-ec56ed9308fd.jpg;Dat denk ik ook. Ik denk een rest van een mammoetkies.;Mammals;palaeontological;Short
73;0073.jpg;https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/31947306-5402-4db9-9709-d5ed5364bc0e.jpg;Klopt, een stiuk stoottand van een mammoet. Die kleine fragmenten kunnen wat vervormd zijn, dat maakt een voorstelling van de diameter wat lastiger.;Mammals;palaeontological;Long
74;0074.jpg;https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/1d5b4aee-85dc-49ee-8329-c012d7657f5d.jpg;Dit doet me ook aan een niet volgroeide mammoet denken. Op het ruwe deel zat de groeischijf en vervolgens de rest van het bot.;Mammals;palaeontological;Long
75;0075.jpg;https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/36ce91f4-ef60-4a24-b91b-72284a2c1ca3.jpg;Mammoet klopt. Mogelijk een fragment van het onderste articulatievlak van een scheenbeen of spaakbeen. Dit deel was nog niet vergroeid met de rest van het bot.;Mammals;palaeontological;Long
76;0076.jpg;https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/834a9177-3ac6-436f-a40c-4909e8217b98.jpg;Het is een fragment van een groot bot. Ik weet niet hoe groot het is, daarom ga ik niet verder dan mogelijk van een mammoet. Zulke fragmenten kan je soms determineren door te gaan vergelijken.&nbsp;;;
77;0077.jpg;https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/dc4110f5-6d74-4c19-8ec6-3d1e060a19fe.jpg;Klopt, uit de pols. De mammoeten leefden in het Pleistoceen (IJstijd).;Mammals;palaeontological;Short
78;0078.jpg;https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/8cba15c6-1edb-4028-8f0e-41a0671d606c.jpg;Een heel klein fragmentje van de stoottand van een mammoet.;Mammals;palaeontological;Short
79;0079.jpg;https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/512bb2e2-58d2-4ba7-a5d8-b8952eb2d57f.jpg;Klopt, een cuboideum uit de enkel van een mammoet.;Mammals;palaeontological;Short
80;0080.jpg;https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/489cbe7f-8a7b-4365-bcb3-81c2cf60db92.jpg;Dit is een middenhandbeen van een mammoet.;Mammals;palaeontological;Short
81;0081.jpg;https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/0c9748fe-dabb-44aa-9f9f-6b532ad0012f.jpg;Klopt, het is een groot deel van een wervel van een mammoet. De schijven met de articiulatievlakken waren nog niet vast gegroeid.;Mammals;palaeontological;Long
82;0082.jpg;https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/27af9679-75ac-4e7d-ad83-11f7df8b6d14.jpg;Ik gok een beetje, maar het lijkt me een fragment van een wervel van een mammoet.;Mammals;palaeontological;Short
83;0083.jpg;https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/1fd58a46-49d5-484c-8e10-9a6dd807c063.jpg;Gezien de vorm van het deel dat op de groeischijf ligt en de gleuf in het midden denk ik dat dit het bovenste deel van een rib van een mammoet is.;Mammals;palaeontological;Long
84;0084.jpg;https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/23ba314b-9670-4f75-be70-f2463636823d.jpg;Dit is een fragment van een mammoetstoottand.;Mammals;palaeontological;Short
85;0085.jpg;https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/9ff96964-ec68-4d05-8809-458fa9d1c223.jpg;Zulke fragmenten van een mammoetbot zijn zelden vanaf foto's te detemineren.;Mammals;palaeontological;Short
86;0086.jpg;https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/2b57e36c-974a-4f36-9cfa-94d10865e2e9.jpg;Dit is een fragment van een mammoetbot.;Mammals;palaeontological;Short
87;0087.jpg;https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/ab5cda90-a0fe-4ed3-be09-0449580f34d9.jpg;Dit is een fragment van de stoottand van een mammoet. Deze fragmenten hebben als nadeel dat ze snel uit elkaar kunnen vallen.&nbsp;;;
88;0088.jpg;https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/7200c412-b352-4c73-8611-64f2e6b5b39f.jpg;Dit is de onderkant van het rechter oppearm been van een nog niet volgroeide mammoet.Volgens de lijst van Adin Lister (1999 in Deinsea) is dat op c.a. 26 jarige leeftijd vergroeid.;Mammals;palaeontological;Long
89;0089.jpg;https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/7c9bf54a-3c63-4719-8d4e-88e43ca00418.jpg;Klopt, een stuk rib van een neushoorn of mammoet.;Mammals;palaeontological;Short
90;0090.jpg;https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/09e53e1d-cfe9-4756-bd85-3ca9070cb45b.jpg;Een fragment van het scheenbeen van een mammoet.;Mammals;palaeontological;Short
91;0091.jpg;https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/4e3dad2d-c83c-42fc-b252-a0886fbf94c9.jpg;Het is de tweede cuneiforme uit de enkel van een mammoet. Als je een partij botresten hebt kan je altijd bij me langs komen. Vaak zijn er nog goed herkenbare stukken tussen.&nbsp;;;
92;0092.jpg;https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/72ef2ec5-f821-4f61-887a-0a368a9bb71e.jpg;Een prachtig stuk mammoet slagtand!&nbsp;;;
93;0093.jpg;https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/89192b03-041e-4cf0-8613-ff54083fe6cb.jpg;Ondanks dat de foto van de kopse kant niet scherp is, ga ik uit van een stukje mammoetivoor.;Mammals;palaeontological;Short
94;0094.jpg;https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/2bff235d-2a99-49b9-817e-577e269ac71c.jpg;Dit is het articulatievlak van een mammoetrib;Mammals;palaeontological;Short
95;0095.jpg;https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/c8396155-6996-45d6-afd9-3cf61ca7323d.jpg;Een foto is altijd lastig, maar 6 cm is voor een mammoet wel erg klein. Ik twijfel tussen een doornvormig uitsteeksel van een wervel en een stukje dijbeen.;Mammals;palaeontological;Long
96;0096.jpg;https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/8e1cae89-6b13-4bf5-8979-9a784757285e.jpg;Klopt van een mammoet;Mammals;palaeontological;Short
97;0097.jpg;https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/5c82470e-3d47-4f6f-a3b4-cfa6707110cc.jpg;Dit is het bovenste deel van een opperarmbeen. Dit is het deel dat in het schouderblad beweegt.Het formaat kan ik niet zien, maar ik denk van een mammoet.;Mammals;palaeontological;Long
98;0098.jpg;https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/0003d1b4-0583-433a-be06-2912e20cd2e6.jpg;Ik gok een beetje. Mogelijk een s=stukje schouderblad van een mammoet.;Mammals;palaeontological;Short
99;0099.jpg;https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/24d0c013-1afe-46c7-a746-8cdda81baff4.jpg;Pijpbeenderen zitten in de ledematen. Al is het eigenlijk niet zo'n goede benaming want elk 'pijpbeen' heeft een specifieke naam die correspondeert met de positie in het skelet: dijbeen, opperarmbeen, enz. Dit stuk behoort tot de platte beenderen. Het is een stuk rib. Ik denk dat het een fragment is van een van de voorste ribben van een mammoetachtige.;Mammals;palaeontological;Long
100;0100.jpg;https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/2203124f-7e45-48d7-bce9-44a2afdce584.jpg;Ik denk eerder aan ribfragment van een mammoet.;Mammals;palaeontological;Short
